student_id,exam_center_id,subject,year,quarter,score,grade
1,1,Math,2005,1,41,D
1,1,Spanish,2005,1,51,C
1,1,German,2005,1,39,D
1,1,Physics,2005,1,35,D
1,1,Biology,2005,1,53,C
1,1,Philosophy,2005,1,73,B
1,1,Modern Art,2005,1,32,E
1,1,History,2005,1,43,D
1,1,Geography,2005,1,54,C
1,1,Classics,2005,1,60,C
2,1,English,2005,1,55,C
2,1,Math,2005,1,98,A+
2,1,Spanish,2005,1,63,B
2,1,German,2005,1,75,A
2,1,Italian,2005,1,43,D
2,1,Chemistry,2005,1,26,E
2,1,Biology,2005,1,90,A+
2,1,Modern Art,2005,1,55,C
2,1,History,2005,1,63,B
2,1,Geography,2005,1,36,D
2,1,Classics,2005,1,42,D
3,1,English,2005,1,71,B
3,1,French,2005,1,53,C
3,1,German,2005,1,53,C
3,1,Physics,2005,1,5,X
3,1,Biology,2005,1,75,A
3,1,Modern Art,2005,1,52,C
3,1,History,2005,1,43,D
3,1,Classics,2005,1,53,C
4,1,English,2005,1,55,C
4,1,French,2005,1,21,E
4,1,German,2005,1,65,B
4,1,Italian,2005,1,98,A+
4,1,Chemistry,2005,1,51,C
4,1,Philosophy,2005,1,57,C
4,1,Modern Art,2005,1,57,C
4,1,History,2005,1,35,D
4,1,Classics,2005,1,48,D
5,1,Math,2005,1,56,C
5,1,French,2005,1,68,B
5,1,Spanish,2005,1,70,B
5,1,German,2005,1,74,B
5,1,Italian,2005,1,33,E
5,1,Chemistry,2005,1,30,E
5,1,Biology,2005,1,56,C
5,1,Philosophy,2005,1,12,X
5,1,History,2005,1,46,D
5,1,Geography,2005,1,31,E
5,1,Classics,2005,1,35,D
6,1,English,2005,1,75,A
6,1,French,2005,1,96,A+
6,1,Spanish,2005,1,81,A
6,1,Italian,2005,1,62,B
6,1,Physics,2005,1,73,B
6,1,Biology,2005,1,35,D
6,1,Philosophy,2005,1,49,D
6,1,Modern Art,2005,1,54,C
6,1,Geography,2005,1,69,B
6,1,Classics,2005,1,93,A+
7,1,Math,2005,1,97,A+
7,1,Spanish,2005,1,41,D
7,1,German,2005,1,40,D
7,1,Italian,2005,1,69,B
7,1,Chemistry,2005,1,53,C
7,1,Biology,2005,1,53,C
7,1,Modern Art,2005,1,59,C
7,1,History,2005,1,64,B
7,1,Classics,2005,1,38,D
8,1,English,2005,1,64,B
8,1,Math,2005,1,20,E
8,1,French,2005,1,17,X
8,1,Spanish,2005,1,65,B
8,1,German,2005,1,87,A
8,1,Italian,2005,1,53,C
8,1,Physics,2005,1,95,A+
8,1,Biology,2005,1,55,C
8,1,Philosophy,2005,1,92,A+
8,1,History,2005,1,59,C
8,1,Geography,2005,1,45,D
8,1,Classics,2005,1,58,C
9,1,English,2005,1,44,D
9,1,Math,2005,1,51,C
9,1,Spanish,2005,1,52,C
9,1,Italian,2005,1,59,C
9,1,Physics,2005,1,94,A+
9,1,Chemistry,2005,1,31,E
9,1,Biology,2005,1,53,C
9,1,Philosophy,2005,1,40,D
9,1,History,2005,1,54,C
9,1,Classics,2005,1,51,C
10,1,English,2005,1,70,B
10,1,French,2005,1,36,D
10,1,Spanish,2005,1,50,C
10,1,Italian,2005,1,65,B
10,1,Physics,2005,1,49,D
10,1,Chemistry,2005,1,61,C
10,1,Biology,2005,1,56,C
10,1,Modern Art,2005,1,51,C
10,1,History,2005,1,56,C
10,1,Classics,2005,1,30,E
11,1,Math,2005,1,50,C
11,1,French,2005,1,26,E
11,1,German,2005,1,61,C
11,1,Italian,2005,1,57,C
11,1,Physics,2005,1,74,B
11,1,Chemistry,2005,1,46,D
11,1,Biology,2005,1,65,B
11,1,Philosophy,2005,1,65,B
11,1,History,2005,1,57,C
11,1,Classics,2005,1,39,D
12,1,English,2005,1,79,A
12,1,French,2005,1,67,B
12,1,Spanish,2005,1,54,C
12,1,Italian,2005,1,65,B
12,1,Chemistry,2005,1,76,A
12,1,Biology,2005,1,56,C
12,1,Philosophy,2005,1,43,D
12,1,History,2005,1,60,C
12,1,Classics,2005,1,47,D
13,1,English,2005,1,57,C
13,1,Math,2005,1,65,B
13,1,French,2005,1,41,D
13,1,German,2005,1,52,C
13,1,Physics,2005,1,52,C
13,1,Biology,2005,1,55,C
13,1,Philosophy,2005,1,73,B
13,1,History,2005,1,67,B
13,1,Classics,2005,1,69,B
14,1,English,2005,1,59,C
14,1,French,2005,1,88,A
14,1,Spanish,2005,1,73,B
14,1,German,2005,1,63,B
14,1,Italian,2005,1,52,C
14,1,Chemistry,2005,1,81,A
14,1,Biology,2005,1,53,C
14,1,Philosophy,2005,1,53,C
14,1,Modern Art,2005,1,78,A
14,1,History,2005,1,70,B
14,1,Geography,2005,1,34,E
14,1,Classics,2005,1,53,C
15,1,Math,2005,1,59,C
15,1,French,2005,1,6,X
15,1,Spanish,2005,1,58,C
15,1,German,2005,1,96,A+
15,1,Italian,2005,1,53,C
15,1,Physics,2005,1,19,X
15,1,Chemistry,2005,1,0,X
15,1,Biology,2005,1,73,B
15,1,Philosophy,2005,1,58,C
15,1,History,2005,1,67,B
15,1,Geography,2005,1,30,E
16,1,Math,2005,1,90,A+
16,1,Spanish,2005,1,31,E
16,1,Italian,2005,1,82,A
16,1,Physics,2005,1,37,D
16,1,Chemistry,2005,1,58,C
16,1,Philosophy,2005,1,51,C
16,1,History,2005,1,21,E
16,1,Geography,2005,1,26,E
17,1,Math,2005,1,18,X
17,1,French,2005,1,71,B
17,1,German,2005,1,54,C
17,1,Physics,2005,1,66,B
17,1,Chemistry,2005,1,55,C
17,1,Biology,2005,1,61,C
17,1,Philosophy,2005,1,47,D
17,1,History,2005,1,48,D
17,1,Geography,2005,1,37,D
17,1,Classics,2005,1,61,C
18,1,English,2005,1,60,C
18,1,French,2005,1,9,X
18,1,Spanish,2005,1,60,C
18,1,Italian,2005,1,56,C
18,1,Physics,2005,1,46,D
18,1,Chemistry,2005,1,96,A+
18,1,Philosophy,2005,1,20,E
18,1,Modern Art,2005,1,42,D
18,1,History,2005,1,79,A
18,1,Geography,2005,1,66,B
19,1,Math,2005,1,55,C
19,1,French,2005,1,24,E
19,1,German,2005,1,59,C
19,1,Italian,2005,1,44,D
19,1,Physics,2005,1,56,C
19,1,Chemistry,2005,1,47,D
19,1,Philosophy,2005,1,69,B
19,1,History,2005,1,59,C
19,1,Classics,2005,1,47,D
20,1,English,2005,1,60,C
20,1,Math,2005,1,50,C
20,1,French,2005,1,45,D
20,1,German,2005,1,33,E
20,1,Italian,2005,1,38,D
20,1,Physics,2005,1,40,D
